Time(longsecs),Time(UTC),Mass position W 1(mV),Mass position V 2(mV),Mass position U 3(mV),
1484244000,2017-01-12 18:00:00.000,-7.926029873488005E1,-4.390262561817199E2,7.277822544566807E2,
1484244060,2017-01-12 18:01:00.000,-7.926029873488005E1,-4.390262561817199E2,7.277822544566807E2,
1484244120,2017-01-12 18:02:00.000,-7.926029873488005E1,-4.390262561817199E2,7.277822544566807E2,
1484244180,2017-01-12 18:03:00.000,-7.926029873488005E1,-4.390262561817199E2,7.277822544566807E2,
1484244240,2017-01-12 18:04:00.000,-7.926029873488005E1,-4.390262561817199E2,7.277822544566807E2,
1484244300,2017-01-12 18:05:00.000,-7.926029873488005E1,-4.390262561817199E2,7.277822544566807E2,
1484244360,2017-01-12 18:06:00.000,-7.926029873488005E1,-4.390262561817199E2,7.277822544566807E2,
1484244420,2017-01-12 18:07:00.000,-7.926029873488005E1,-4.390262561817199E2,7.277822544566807E2,
1484244480,2017-01-12 18:08:00.000,-7.926029873488005E1,-4.390262561817199E2,7.277822544566807E2,
1484244540,2017-01-12 18:09:00.000,-7.926029873488005E1,-4.390262561817199E2,7.277822544566807E2,
1484244600,2017-01-12 18:10:00.000,-7.926029873488005E1,-4.390262561817199E2,7.277822544566807E2,
1484244660,2017-01-12 18:11:00.000,-7.926029873488005E1,-4.390262561817199E2,7.277822544566807E2,
1484244720,2017-01-12 18:12:00.000,-7.926029873488005E1,-4.390262561817199E2,7.277822544566807E2,
1484244780,2017-01-12 18:13:00.000,-7.926029873488005E1,-4.390262561817199E2,7.277822544566807E2,
1484244840,2017-01-12 18:14:00.000,-7.926029873488005E1,-4.390262561817199E2,7.277822544566807E2,
1484244900,2017-01-12 18:15:00.000,-7.926029873488005E1,-4.390262561817199E2,7.277822544566807E2,
1484244960,2017-01-12 18:16:00.000,-7.926029873488005E1,-4.390262561817199E2,7.277822544566807E2,
1484245020,2017-01-12 18:17:00.000,-7.926029873488005E1,-4.390262561817199E2,7.277822544566807E2,
1484245080,2017-01-12 18:18:00.000,-7.926029873488005E1,-4.390262561817199E2,7.277822544566807E2,
1484245140,2017-01-12 18:19:00.000,-7.926029873488005E1,-4.390262561817199E2,7.277822544566807E2,
1484245200,2017-01-12 18:20:00.000,-7.926029873488005E1,-4.390262561817199E2,7.277822544566807E2,
1484245260,2017-01-12 18:21:00.000,-7.926029873488005E1,-4.390262561817199E2,7.277822544566807E2,
1484245320,2017-01-12 18:22:00.000,-7.926029873488005E1,-4.390262561817199E2,7.277822544566807E2,
1484245380,2017-01-12 18:23:00.000,-7.926029873488005E1,-4.390262561817199E2,7.277822544566807E2,
1484245440,2017-01-12 18:24:00.000,-7.926029873488005E1,-4.390262561817199E2,7.277822544566807E2,
Time(longsecs),Time(UTC),Mass position W 1(mV),Mass position V 2(mV),Mass position U 3(mV),
1484245500,2017-01-12 18:25:00.000,-6.953689447955912E1,-4.390262561817199E2,7.277822544566807E2,
1484245560,2017-01-12 18:26:00.000,-6.953689447955912E1,-4.390262561817199E2,7.277822544566807E2,
1484245620,2017-01-12 18:27:00.000,-1.084305115008392E2,-4.098560434157607E2,7.569524672226398E2,
1484245680,2017-01-12 18:28:00.000,-1.570475327774402E2,-3.8068583064979975E2,7.861226799886008E2,
1484245740,2017-01-12 18:29:00.000,-1.959411497987203E2,-3.8068583064979975E2,7.861226799886008E2,
1484245800,2017-01-12 18:30:00.000,-1.8621774554339936E2,-3.8068583064979975E2,7.763992757332799E2,
1484245860,2017-01-12 18:31:00.000,-1.8621774554339936E2,-3.8068583064979975E2,7.763992757332799E2,
1484245920,2017-01-12 18:32:00.000,-1.8621774554339936E2,-3.8068583064979975E2,7.763992757332799E2,
1484245980,2017-01-12 18:33:00.000,-1.8621774554339936E2,-3.8068583064979975E2,7.763992757332799E2,
1484246040,2017-01-12 18:34:00.000,-1.8621774554339936E2,-3.8068583064979975E2,7.763992757332799E2,
1484246100,2017-01-12 18:35:00.000,-1.8621774554339936E2,-3.8068583064979975E2,7.763992757332799E2,
1484246160,2017-01-12 18:36:00.000,-1.8621774554339936E2,-3.8068583064979975E2,7.763992757332799E2,
1484246220,2017-01-12 18:37:00.000,-1.8621774554339936E2,-3.8068583064979975E2,7.763992757332799E2,
1484246280,2017-01-12 18:38:00.000,-1.8621774554339936E2,-3.8068583064979975E2,7.763992757332799E2,
1484246340,2017-01-12 18:39:00.000,-1.8621774554339936E2,-3.8068583064979975E2,7.763992757332799E2,
1484246400,2017-01-12 18:40:00.000,-1.8621774554339936E2,-3.8068583064979975E2,7.763992757332799E2,
1484246460,2017-01-12 18:41:00.000,-1.959411497987203E2,-3.8068583064979975E2,7.763992757332799E2,
1484246520,2017-01-12 18:42:00.000,-1.959411497987203E2,-3.8068583064979975E2,7.763992757332799E2,
1484246580,2017-01-12 18:43:00.000,-1.959411497987203E2,-3.8068583064979975E2,7.763992757332799E2,
