Time(longsecs),Time(UTC),Supply voltage(V),Total current(A),Temperature(&deg;C),
1484244000,2017-01-12 18:00:00.000,1.243994598E1,6.9626373626304E-2,2.5E1,
1484244060,2017-01-12 18:01:00.000,1.243994598E1,7.0798534798464E-2,2.5E1,
1484244120,2017-01-12 18:02:00.000,1.243994598E1,7.0095238095168E-2,2.5E1,
1484244180,2017-01-12 18:03:00.000,1.2426482835E1,7.3611721611648E-2,2.525E1,
1484244240,2017-01-12 18:04:00.000,1.243994598E1,7.5252747252672E-2,2.525E1,
1484244300,2017-01-12 18:05:00.000,1.243994598E1,7.7597069596992E-2,2.525E1,
1484244360,2017-01-12 18:06:00.000,1.243994598E1,7.4315018314944E-2,2.525E1,
1484244420,2017-01-12 18:07:00.000,1.2426482835E1,7.736263736256001E-2,2.525E1,
1484244480,2017-01-12 18:08:00.000,1.2426482835E1,7.8300366300288E-2,2.55E1,
1484244540,2017-01-12 18:09:00.000,1.2426482835E1,7.5252747252672E-2,2.55E1,
1484244600,2017-01-12 18:10:00.000,1.243994598E1,7.4080586080512E-2,2.575E1,
1484244660,2017-01-12 18:11:00.000,1.2426482835E1,7.619047619040001E-2,2.55E1,
1484244720,2017-01-12 18:12:00.000,1.243994598E1,7.220512820505601E-2,2.575E1,
1484244780,2017-01-12 18:13:00.000,1.2426482835E1,7.6893772893696E-2,2.575E1,
1484244840,2017-01-12 18:14:00.000,1.243994598E1,7.267399267392001E-2,2.575E1,
1484244900,2017-01-12 18:15:00.000,1.2426482835E1,7.2908424908352E-2,2.575E1,
1484244960,2017-01-12 18:16:00.000,1.2426482835E1,7.501831501824001E-2,2.6E1,
1484245020,2017-01-12 18:17:00.000,1.243994598E1,7.03296703296E-2,2.575E1,
1484245080,2017-01-12 18:18:00.000,1.243994598E1,7.1267399267328E-2,2.6E1,
1484245140,2017-01-12 18:19:00.000,1.2426482835E1,7.6659340659264E-2,2.6E1,
1484245200,2017-01-12 18:20:00.000,1.2413019689999999E1,7.970695970688E-2,2.6E1,
1484245260,2017-01-12 18:21:00.000,1.2413019689999999E1,7.900366300358401E-2,2.6E1,
1484245320,2017-01-12 18:22:00.000,1.2413019689999999E1,7.7128205128128E-2,2.625E1,
1484245380,2017-01-12 18:23:00.000,1.2413019689999999E1,7.5487179487104E-2,2.625E1,
1484245440,2017-01-12 18:24:00.000,1.2413019689999999E1,8.439560439552E-2,2.625E1,
Time(longsecs),Time(UTC),Supply voltage(V),Total current(A),Temperature(&deg;C),
1484245500,2017-01-12 18:25:00.000,1.2426482835E1,7.5252747252672E-2,2.625E1,
1484245560,2017-01-12 18:26:00.000,1.2413019689999999E1,7.783150183142401E-2,2.65E1,
1484245620,2017-01-12 18:27:00.000,1.2305314529999999E1,1.33860805860672E-1,2.65E1,
1484245680,2017-01-12 18:28:00.000,1.2264925094999999E1,1.3714285714272E-1,2.65E1,
1484245740,2017-01-12 18:29:00.000,1.2318777675E1,1.20029304029184E-1,2.675E1,
1484245800,2017-01-12 18:30:00.000,1.235916711E1,1.02446886446784E-1,2.7E1,
1484245860,2017-01-12 18:31:00.000,1.235916711E1,1.0268131868121601E-1,2.7E1,
1484245920,2017-01-12 18:32:00.000,1.2372630254999999E1,9.846153846144E-2,2.725E1,
1484245980,2017-01-12 18:33:00.000,1.2413019689999999E1,7.3377289377216E-2,2.725E1,
1484246040,2017-01-12 18:34:00.000,1.2426482835E1,7.501831501824001E-2,2.75E1,
1484246100,2017-01-12 18:35:00.000,1.2426482835E1,7.2439560439488E-2,2.725E1,
1484246160,2017-01-12 18:36:00.000,1.2426482835E1,7.03296703296E-2,2.75E1,
1484246220,2017-01-12 18:37:00.000,1.2426482835E1,7.103296703289601E-2,2.75E1,
1484246280,2017-01-12 18:38:00.000,1.2426482835E1,7.103296703289601E-2,2.75E1,
1484246340,2017-01-12 18:39:00.000,1.2372630254999999E1,9.4710622710528E-2,2.75E1,
1484246400,2017-01-12 18:40:00.000,1.2372630254999999E1,9.635164835155201E-2,2.75E1,
1484246460,2017-01-12 18:41:00.000,1.235916711E1,9.635164835155201E-2,2.75E1,
1484246520,2017-01-12 18:42:00.000,1.2372630254999999E1,9.517948717939201E-2,2.775E1,
1484246580,2017-01-12 18:43:00.000,1.2399556545E1,7.8065934065856E-2,2.775E1,
